# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,
# Thu Jun 24 01:32:12 2021,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntname:       Planet Name,,,,,,,,,,,,,,,,,,,,,,
# COLUMN centralwavelng: Central Wavelength [microns],,,,,,,,,,,,,,,,,,,,,,
# COLUMN bandwidth:      Band Width [microns],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdep:    Transit Depth [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntransdeplim: Transit Depth Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradj:        Planet Radius [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnradjlim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratror:      Ratio of Planet to Stellar Radius,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmid:     Transit Mid-Point [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD],,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag,,,,,,,,,,,,,,,,,,,,,,
# COLUMN plntranreflink: Reference,,,,,,,,,,,,,,,,,,,,,,
# COLUMN facility:       Facility,,,,,,,,,,,,,,,,,,,,,,
# COLUMN instrument:     Instrument,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,
plntname,centralwavelng,,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument,
HAT-P-1 b,1.2805,,,,,,,,,,0.11639,0.00064,-0.00064,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.2997,,,,,,,,,,0.11519,0.00055,-0.00055,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.3189,,,,,,,,,,0.11651,0.00065,-0.00065,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.3381,,,,,,,,,,0.11744,0.00062,-0.00062,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.3573,,,,,,,,,,0.11656,0.00054,-0.00054,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.3765,,,,,,,,,,0.11726,0.0006,-0.0006,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.3957,,,,,,,,,,0.11716,0.00069,-0.00069,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.4149,,,,,,,,,,0.11807,0.00068,-0.00068,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.4341,,,,,,,,,,0.1178,0.00072,-0.00072,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
HAT-P-1 b,1.4533,,,,,,,,,,0.11719,0.00068,-0.00068,0,2456114.345307,0.00018,-0.00018,0,<a refstr=WAKEFORD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.435.3481W/abstract target=ref> Wakeford et al. 2013</a>,Hubble Space Telescope satellite,Wide Field Camera 3,
